year,state,name,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,chrstgen,judorth,jdcons,judref,judothr,judgen,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,islmgen,budmah,budthr,budothr,budgen,zorogen,hindgen,sikhgen,shntgen,bahgen,taogen,jaingen,confgen,syncgen,anmgen,nonrelig,othrgen,sumrelig,pop,chrstprotpct,chrstcatpct,chrstorthpct,chrstangpct,chrstothrpct,chrstgenpct,judorthpct,judconspct,judrefpct,judothrpct,judgenpct,islmsunpct,islmshipct,islmibdpct,islmnatpct,islmalwpct,islmahmpct,islmothrpct,islmgenpct,budmahpct,budthrpct,budothrpct,budgenpct,zorogenpct,hindgenpct,sikhgenpct,shntgenpct,bahgenpct,taogenpct,jaingenpct,confgenpct,syncgenpct,anmgenpct,nonreligpct,othrgenpct,sumreligpct,total,dualrelig,datatype,sourcereliab,recreliab,reliabilevel,sourcecode,Version
1945,2,USA,"66,069,671","38,716,742","1,121,898","2,400,000","1,956,807","110,265,118","821,489","1,364,508","1,902,885","552,300","4,641,182",0,0,0,0,0,0,0,0,0,0,"1,601,218","1,601,218",0,0,0,0,0,0,0,0,0,0,"22,874,544","545,938","139,382,062","139,928,000",0.4722,0.2767,0.008,0.0172,0.014,0.788,0.0059,0.0098,0.0136,0.0039,0.0332,0,0,0,0,0,0,0,0,0,0,0.0114,0.0114,0,0,0,0,0,0,0,0,0,0,0.1635,0.0039,0.9961,1,0,34,2,10,Medium,13,1.1
1950,2,USA,"73,090,083","42,635,882","3,045,420","3,045,420","1,177,214","122,994,019","1,078,078","1,790,706","2,497,244","724,809","6,090,837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,568,130","618,022","151,652,986","152,271,008",0.48,0.28,0.02,0.02,0.0077,0.8077,0.0071,0.0118,0.0164,0.0048,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1482,0.0041,0.9959,1,0,34,6,28,Low,18,1.1
1955,2,USA,"79,294,628","46,402,368","3,454,916","2,572,767","2,277,091","134,001,770","944,000","1,568,000","2,186,666","634,666","5,333,332",0,0,0,0,0,0,0,0,0,0,"90,173","90,173",0,0,0,0,0,0,0,0,0,0,"23,303,540","3,202,185","162,728,815","165,931,000",0.4779,0.2796,0.0208,0.0155,0.0137,0.8076,0.0057,0.0094,0.0132,0.0038,0.0321,0,0,0,0,0,0,0,0,0,0,0.0005,0.0005,0,0,0,0,0,0,0,0,0,0,0.1404,0.0193,0.9807,1,0,134,5,10,Medium,15,1.1
1960,2,USA,"90,692,928","50,587,880","3,334,535","2,710,065","2,908,939","150,234,347","973,500","1,617,000","2,255,000","654,500","5,500,000",0,0,0,0,0,0,0,0,0,0,"2,012,131","2,012,131",0,0,0,0,0,0,0,0,0,0,"21,548,225","1,376,297","179,294,703","180,671,000",0.502,0.28,0.0185,0.015,0.0161,0.8315,0.0054,0.0089,0.0125,0.0036,0.0304,0,0,0,0,0,0,0,0,0,0,0.0111,0.0111,0,0,0,0,0,0,0,0,0,0,0.1193,0.0076,0.9924,1,0,134,2,10,Medium,13,1.1
1965,2,USA,"94,165,803","64,761,783","4,792,868","2,822,149","973,155","167,515,758","991,200","1,646,400","2,296,000","666,400","5,600,000",0,0,0,0,0,0,0,0,0,0,"1,080,892","1,080,892",0,0,0,0,0,0,0,0,0,0,"19,852,362","581,988","194,049,012","194,631,000",0.4838,0.3327,0.0246,0.0145,0.005,0.8607,0.0051,0.0085,0.0118,0.0034,0.0288,0,0,0,0,0,0,0,0,0,0,0.0056,0.0056,0,0,0,0,0,0,0,0,0,0,0.102,0.003,0.997,1,0,134,8,28,Low,20,1.1
1970,2,USA,"93,918,347","69,119,143","5,498,914","3,030,647","1,300,000","172,867,051","1,088,550","1,808,100","2,521,500","731,850","6,150,000",0,0,0,0,0,0,0,0,0,0,"1,113,861","1,113,861",0,0,0,0,"90,247",0,0,0,0,0,"20,474,592","10,249","200,695,751","200,706,000",0.4679,0.3444,0.0274,0.0151,0.0065,0.8613,0.0054,0.009,0.0126,0.0036,0.0306,0,0,0,0,0,0,0,0,0,0,0.0055,0.0055,0,0,0,0,0.0004,0,0,0,0,0,0.102,0.0001,0.9999,1,0,134,4,10,Medium,7,1.1
1975,2,USA,"93,578,909","77,181,399","6,651,649","3,239,145","2,159,430","182,810,532","1,185,900","1,969,800","2,747,000","797,300","6,700,000",0,0,0,0,0,0,0,0,0,0,"1,019,556","1,019,556",0,"159,778","1,597",0,"220,494",0,0,0,0,0,"24,789,671","241,372","215,701,628","215,943,000",0.4334,0.3574,0.0308,0.015,0.01,0.8466,0.0055,0.0091,0.0127,0.0037,0.031,0,0,0,0,0,0,0,0,0,0,0.0047,0.0047,0,0.0007,0,0,0.001,0,0,0,0,0,0.1148,0.0011,0.9989,1,0,99,99,35,Low,99,1.1
1980,2,USA,"101,216,516","75,149,580","4,677,202","3,576,566","2,030,000","186,649,864","1,284,843","2,134,146","2,976,190","863,821","7,259,000","2,407,464","254,121",0,0,0,"4,975",0,"2,666,560",0,0,"1,357,967","1,357,967",0,"995,149",0,0,0,"89,563",0,0,0,"59,708","26,813,635","1,834,554","225,891,446","227,726,000",0.4445,0.33,0.0205,0.0157,0.0089,0.8196,0.0056,0.0094,0.0131,0.0038,0.0319,0.0106,0.0011,0,0,0,0,0,0.0117,0,0,0.006,0.006,0,0.0044,0,0,0,0.0004,0,0,0,0.0003,0.1177,0.0081,0.9919,1,0,24,4,5,Medium,7,1.1
1985,2,USA,"107,309,700","82,463,100","5,245,662","3,576,990","1,192,330","199,787,782","1,352,280","2,146,160","3,132,400","879,160","7,510,000","2,186,675","298,183",0,0,0,0,0,"2,484,858",0,0,"1,984,325","1,984,325",0,"1,005,000",0,0,0,0,0,0,0,0,"25,396,899","297,136","238,168,864","238,466,000",0.45,0.3458,0.022,0.015,0.005,0.8378,0.0057,0.009,0.0131,0.0037,0.0315,0.0092,0.0013,0,0,0,0,0,0.0104,0,0,0.0083,0.0083,0,0.0042,0,0,0,0,0,0,0,0,0.1065,0.0012,0.9988,1,0,34,2,10,Medium,13,1.1
1990,2,USA,"132,040,181","65,530,789","6,715,078","4,334,627","5,804,487","214,425,162","975,005","1,619,500","2,258,487","655,512","5,508,504","2,019,386","275,371",0,0,0,0,0,"2,294,757",0,0,"1,575,481","1,575,481","52,301","323,352","18,517","59,724","887,961","100,408","6,410",0,0,"78,345","24,413,914","162,164","249,744,836","249,907,000",0.5284,0.2622,0.0269,0.0173,0.0232,0.858,0.0039,0.0065,0.009,0.0026,0.022,0.0081,0.0011,0,0,0,0,0,0.0092,0,0,0.0063,0.0063,0.0002,0.0013,0.0001,0.0002,0.0036,0.0004,0,0,0,0.0003,0.0977,0.0006,0.9994,1,0,24,4,7,High,25,1.1
